rawi_index,name,shuhrah,laqab,kunyah,nasab,place_iqama,selat_karaba,aqeedah,date_birth,date_death,place_birth,place_death,place_travel,date_travel,tabaqah,grade_ibn_hajar,grade_thahabi
12225,أحمد بن يحيى بن زكير,,,,البزاز ، المصري,,,,,,,,,,,,
12226,أحمد بن يحيى بن عطاء,,,أبو عبد الله,الجلاب ، العسكري,,,,,253 هـ,,سر من رأى,,,,,
12227,أحمد بن يحيى بن مالك بن كثير بن راشد ، وقيل : أحمد بن يحيى بن مالك بن زكريا بن راشد بن كثير بن مالك,السوسي,,أبو جعفر,الهمداني ، الكوفي الأصل ، السوسي,سر من رأى ، بغداد,أخو : أبو غسان مالك بن يحيى,,,263 هـ,,,,,,,
12228,أحمد بن يحيى,,الأحول,أبو عبد الله,الكوفي ، الأحول ، الأشعري مولاهم,,مولى الأشعريين,,,271 هـ : 280 هـ,,,,,,,
12229,أحمد بن يعقوب,,الفراء,أبو صالح,البلخي ، الفراء,,,,,,,,,,,,
12230,إدريس بن الحكم,,,أبو يحيى,العنزي,,أخو : أبو عبيد القاسم,,,251 هـ : 260 هـ,,,,,,,
12231,إدريس بن عبد الكريم,,,أبو الحسن,الحداد ، المقرئ ، البغدادي,,صاحب خلف بن هشام,,,292 هـ,,,,,,,
12232,إدريس بن يونس بن يناق,,الفراء,أبو حمزة,الفراء ، الحراني,,,,,,,,,,,,
12233,إسحاق بن إبراهيم بن أبي حسان,,,أبو يعقوب,الأنماطي ، البغدادي,,,,,302 هـ,,,دمشق,,,,
12234,إسحاق بن إبراهيم بن محمد بن عبد الله بن عمر بن زيد,شاذان,شاذان,أبو بكر,النهشلي ، الفارسي ، الشيرازي,,جده لأمه : سعد بن الصلت قاضي فارس,,,267 هـ,,,,,,,
12235,إسحاق بن إبراهيم بن محمد بن حازم بن سنين,,,أبو القاسم,الختلي,بغداد,,,,283 هـ,,,,,,,
12236,إسحاق بن إبراهيم بن أبى كامل,,الحافظ,أبو الفضل ، وأبو يعقوب,الباوردي ، الحنفي ، الحافظ,بغداد,,,,ما بين 230 هـ و 240 هـ,,,مصر,,,,
12237,إسحاق بن أبي إسحاق : إبراهيم بن محمد,,,أبو يعقوب,الصفار ، البغدادي,,,,,262 هـ,,,,,,,
12238,إسحاق بن إبراهيم بن خالد بن محمد,,,أبو بكر,الجرجاني ، الإستراباذي ، المؤدب ، الطالقي,,,كان من أهل الرأي,,264هـ,,,,,,,
12239,إسحاق بن إبراهيم بن جعفر بن داود بن يوسف أو سيف ابن جبلة بن الحسين بن معبد,,,,السمرقندي ، ثم البابكسي ، النابلسي ، الواعظ ،,,,,,259 هـ,,,,,,,
12240,إسحاق بن بهلول بن حسان بن سنان,,الحافظ,أبو يعقوب,التنوخي ، الأنباري ، الحافظ,الأنبار,,,164 هـ,252 هـ,الأنبار,الأنبار,بغداد والكوفة والبصرة والمدينة ومكة,,,,
12241,إسحاق بن خالد بن يزيد ، ويقال له : إسحاق بن خلدون,,,,البالسي,,,,,,,,,,,,
12242,إسحاق بن داود بن عيسى,,,أبو يعقوب,الشعراني ، المروزي,بغداد,,,,261 هـ,,,,,,,
12243,عمر بن عبيد الله بن معمر بن عثمان بن عمرو بن كعب بن سعد بن تيم بن مرة,,,أبو حفص,القرشي ، التيمي,البصرة ، فارس,هو ابن عم أبي قحافة والد أبي بكر ، ذكره البخاري وقال : أراه أخا معاذ التيمي ، وتزوج عائشة بنت طلحة,,عام قتل عمر بن الخطاب,82 هـ,,دمشق,,,,,
12244,إسحاق بن زياد,,,,الأيلي,,,,,,,,,,,,
12245,عبد الرحمن بن مخراق,,,,,,,,,,,,,,,,
12246,إسحاق بن مالك,,,,الحضرمي ، الشامي,,,,,,,,,,,,
12247,عبد الجبار بن عاصم,,,أبو طالب,الخراساني ، النسائي,بغداد,,,,233 هـ ، وقال ابن حبان : 230هـ أو قبلها أو بعدها بقليل,,,,,,,
12248,إسحاق بن المنذر,,,,,,قرابة الهيثم بن خارجة,,,بين 221 هـ إلى 230 هـ,,,,,,,
12249,إسحاق بن أبي يحيى,,,,الكعبي,,,,,,,,,,,,
12250,أسد بن سعيد,,,أبو إسماعيل,الكوفي,,,فى رجال الشيعة,,,,,,,,,
12251,أسد بن عمرو  بن عامر بن عبد الله بن عمرو بن عامر بن أسلم بن صعب بن يشكر بن رهم بن أفرك ، وهو غانم بن نذير بن نسر بن عبقر بن أنمار بن إراش بن عمرو بن نبت بن زيد بن كهلان,,,أبو المنذر,البجلي ، القاضي ، الكوفي,واسط ، بغداد,صاحب أبي حنيفة,حنفي ، صاحب رأي,,188هـ ، وقيل : 189هـ ، وقيل : 190هـ,,,,,,,
12252,إسماعيل بن إبراهيم,,,أبو بشر,البصري,البصرة,صاحب الهروي,,,,,,,,,,
12253,إسماعيل بن إسحاق بن إسماعيل بن سهل,ترنجة,,أبو إسحاق,الكوفي ، القرشي مولاهم,مصر,مولى قريش,,,270 هـ,,,,,,,
12254,إسماعيل بن أبي عباد : أمية,,,,الذارع ، البصري ، القماقمي,,,,,,,,,,,,
12255,إسماعيل بن بشر,,,,الغزال ، البلخي,,,,,,,,,,,,
12256,إسماعيل بن جستاس,,,,الحجازي,,,,,,,,,,,,
12257,إسماعيل بن حصن,,,أبو سليم,الجبيلي ، البغدادي,جبيل,,,,264 هـ,,,,,,,
12258,إسماعيل بن سعيد,,,أبو إسحاق,الشالنجي ، الكسائي ، الطبري ، الاستراباذي,,,,,230  هـ,,,,,,,
12259,إسماعيل بن الفضل بن موسى بن مسمار بن هانئ,,,أبو بكر,البلخي,بغداد,أخو : عبد الصمد بن الفضل,,,286 هـ,,,,,,,
12260,إسماعيل بن محمود,,,,النيسابوري,,,,,بين 281هـ إلى 290هـ,,,,,,,
12261,إسماعيل بن مرزوق بن يزيد بن يزيد,,,أبو بريد,المرادي ، الكعبي ، المصري,,ابنه : محمد,,,234 هـ,,مصر,,,,,
12262,إسماعيل بن نصر,,,,,,,,,بين 201هـ إلى 210هـ,,,,,,,
12263,إسماعيل بن همام بن عبد الرحمن بن ميمون,,,أبو همام,البصري ، الكندي مولاهم,,مولى كندة,في رجال الشيعة,,,,,,,,,
12264,إسماعيل بن يحيى بن بحر,,,,الكرماني ، الأزدي,,,,,,,,,,,,
12265,إسماعيل بن يزيد بن حريث بن مردانبه,,,أبو أحمد,القطان ، الأصبهاني,,خال أبي حاتم,,,قبل 260 هـ,,,,,,,
12266,إسماعيل بن اليسع,,,أبو عبد الرحمن,الكوفي,,,,,بين 171 هـ إلى 180 هـ,,,,,,,
12267,أشعث بن عطاف,,,أبو النضر,الكوفي ، الأسدي ، المقرئ,الري,,,,بين 201هـ إلى  210هـ,,الري,,,,,
12268,أمية بن الحارث,,,,الكوفي,,,,,,,,,,,,
12269,أيوب بن سليمان,,الأعور,أبو محمد,الأعور ، الفرائضي ، المصري,,,,,,,,,,,,
12270,أيوب بن سليمان بن داود,الصغدي,,أبو علي,الصغدي ، البغدادي,,,,,274 هـ,,,,,,,
12271,أيوب بن سيار,,,أبو سيار,الزهري ، المدني ، الفيدى,,,,,بين 171هـ إلى 180هـ,,,,,,,
12272,أيوب بن عبد الله,,,,القرشي,,,,,,,,,,,,
12273,أيوب بن محمد,,أبو الجمل,أبو سهل,العجلي ، اليمامي,,,,,بين 161هـ إلى 170هـ,,,,,,,
12274,أيوب بن الوليد,,,أبو سليمان,الضرير ، البغدادي,,,,,260 هـ,,,,,,,
12276,بركة بن محمد ، واسمة : الحسين,,بركة,أبو سعيد,الحلبي ، الأنصاري,,,,,بين 241هـ إلى  250هـ,,,,,,,
12277,بشر بن فافا,,,أبو الهيثم,,,,,,,,,,,,,
12278,بشر بن مبشر,,,أبو المسيب,الواسطي,,,,,179 هـ أو  199 هـ,,,,,,,
12279,بشر بن مطر بن ثابت,,,أبو أحمد,الدقاق ، الواسطي,سامرا,,,,262 هـ,,,,,,,
12280,بشر بن يحيى,,,,المروزي,,,,,,,,,,,,
12281,حنظلة بن أبي عامر بن صيفي بن مالك بن أمية بن ضبيعة بن زيد بن عوف بن عمرو بن عوف بن مالك بن الأوس,غسيل الملائكة,,,الأنصاري ، الأوسي,,,,,استشهد بأحد,,,,,,,
12282,بكر بن خداش,,,أبو صالح,الكوفي,,,,,بين 201هـ إلى 210هـ,,,,,,,
12283,البهلول بن حسان بن سنان,,,أبو الهيثم,التنوخي ، الأنباري,,ابنه : إسحاق,,,204هـ,,الأنبار,بغداد ، البصرة ، الكوفة ، المدينة ، مكة,,,,
12284,حزام بن هشام بن حبيش بن خالد بن الأشعر,,,,الخزاعي ، القديدي ، من أهل الرقم,,أخيه : عبد الله بن هشام,,,قريب 180هـ,,,,,,,
12285,هشام بن حبيش بن خالد,,,,المخزومي,,,,,,,,,,,,
12286,ثابت بن حماد,,,أبو زيد,البصري,,,"ذكره الطوسي في ""رجال الشيعة""",,,,,,,,,
12287,ثابت بن زهير,,,أبو زهير,البصري,,,,,,,,,,,,
12288,ثعلبة بن أبى الكنود,,,,الحمراوي,,,,,,,,,,,,
12289,ثمامة بن عبيدة,,,أبو خليفة,العبدي ، البصري,,,,,بين 171هـ إلى 180هـ,,,,,,,
12290,الجارود بن يزيد,,,أبو علي ، وقيل : أبو الضحاك,العامري ، النيسابوري,,أحد أصحاب أبي حنيفة,,,203هـ ، وقيل : 206هـ,,,,,,,
12291,جبرون بن واقد,,,أبو عباد,الإفريقي ، المغربي,,,,,,,,,,,,
12292,جعفر بن أحمد بن العباس بن عبد الله بن الهيثم بن سام,,,أبو الفضل,القاضي,البصرة,,,,276هـ,,البصرة,,,,,
12293,جعفر بن أحمد بن سلم,,,أبو الفضل,العبدي ، البزار,,,,,288 هـ,,,,,,,
12294,جعفر بن أحمد بن محمد بن يحيى بن عبد الجبار بن عبد الرحمن,البارد,البارد,أبو محمد,القارئ ، المؤذن ، المروزي الأصل ، البغدادي ، البارد,,,,,329هـ,,,,,,,
12295,جعفر بن عنبسة بن عمرو,,,أبو محمد,الكوفي ، اليشكري,,,,,بين 271هـ إلى 280هـ,,,,,,,
12296,جعفر بن محمد بن الحجاج,,,,القطان ، الرقي ، الكوفي,,,,,280هـ,,,,,,,
12297,جعفر بن محمد بن الحسن بن زياد بن صالح,التفسيري,,أبو يحيى,الزعفراني ، الرازي,,,,,279هـ,,,,,,,
12298,جعفر بن محمد بن عامر,,,أبو الفضل,السامري ، البزاز,,,,,272هـ أو 273هـ,,,,,,,
12299,حسان بن جعدة,,,,,,,,,,,,,,,,
12300,جعفر بن محمد بن مروان,,,,القطان ، الكوفي,,,,,,,,,,,,
12301,سليمان بن داود بن بشر,الشاذكوني,الحافظ ، الشاذكوني,أبو أيوب,الحافظ ، المنقري ، البصري ، الشاذكوني,أصبهان,,,,234هـ أو 236هـ,,أصبهان,بغداد,,التاسعة,متروك,
12302,جعفر بن محمد,الخندقي,,أبو محمد,الخباز ، الخندقي,,,,,بين 281هـ إلى  290هـ,,,,,,,
12303,جعفر بن محمد,,,,الشيرازي,,,"ذكره الطوسي في "" رجال الشيعة """,,,,,,,,,
12304,جمهور بن منصور,,,,,,,,,,,,,,,,
12305,جميل بن عبيد ، وقال الذهبي : ابن عبيد  الله,,,أبو النضر,الطائي ، البصري,,,,,بين 161هـ إلى 170هـ,,,,,,,
12306,الحارث بن محمد,,,,الفهري ، المديني,,,,,,,,,,,,
12307,حازم بن إبراهيم,,,,البجلي ، البصري ، الكوفي,,,ذكره الطوسي وعلي بن الحكم في رجال الشيعة,,,,,,,,,
12308,حامد بن شاذي,,,أبو محمد,الكشي,,,,,بين 291هـ إلى  300هـ,,,بغداد,,,,
12309,حامد بن محمد بن شعيب بن زهير,,,أبو العباس,البلخي ، البغدادي ، المؤدب,بغداد,,,216هـ,309هـ,,,,,,,
12310,حبيب بن نجيح,,,,,,,,,,,,,,,,
12311,حسان بن سياه,,,أبو سهل,الأزرق ، البصري,,مولى: عثمان بن عفان,,,بين 181هـ إلى 190هـ,,,,,,,
12312,البراء بن مالك بن النضر,,,,الأنصاري ، النجاري ، المديني,,حادِيَ النبي - صلى الله عليه وسلم ، أخو أنس,,,20هـ ، وقيل: قبل 20هـ ، وقيل : 19هـ ، وقيل : 23هـ,,السوس,,,,,
12313,حسان بن فائد,,,,العبسي ، الكوفي,,,,,,,,,,,,
12314,حسان بن ثمامة,,,,,,,,,,,,,,,,
12315,الحسن بن إسحاق بن يزيد,,,أبو علي,البغدادي ، العطار ، الحربي,,,,,272هـ,,,,,,,
12316,الحسن بن خلف بن سليمان,الخلقاني,,أبو سعيد,الإستراباذي ، الخلقاني,,,,,,,,جرجان,,,,
12317,الحسن بن داود بن مهران,,,أبو بكر,البغدادي ، الأزدي ، المؤدب ، العبدي,سامراء,,,,بين 251هـ إلى  260هـ,,,,,,,
12318,الحسين بن السكين بن عيسى,,,أبو منصور,البلدي,بغداد,,,,261هـ,,,,,,,
12319,محمد بن يعقوب بن يوسف بن معقل بن سنان,,الأصم,أبو العباس,الأموي مولاهم ، النيسابوري ، الأصم ، المعقلي ، السناني,,مولى بني أمية ، ابنه : أبو سعيد,,247 هـ,346 هـ,,,أصبهان ، مكة ، مصر ، عسقلان ، بيت المقدس ، بيروت ، دمشق ، حمص ، طرسوس ، الرقة ، الكوفة,أصبهان : 265هـ,,,
12320,الحسن بن علي بن بزيع,,,,الهاشمي الكوفي ، البناء,,,,,,,,,,,,
12322,الحسن بن علي بن خلف,,,,الصيدلاني ، الدمشقي ، الصراري,,,,,289هـ,,,,,,,
12323,الحسن بن علي بن سعيد بن شهريار,,,أبو علي,الرقي,,,,,297هـ,,مصر,بغداد,,,,
12324,الحسن بن علي,,,,الرزاز ، القرشي,,,,,,,,,,,,
12325,الحسن بن الفضل بن السمح,البوصرائي,,أبو علي,الزعفراني ، البوصرائي,,,,,280هـ,,,,,,,
12326,الحسن بن فهد بن حماد,,,أبو علي,,,,,,,,,,,,,
12327,الحسن بن قتيبة,,,أبو علي,الخزاعي ، المدائني ، الخياط,بغداد,جده زياد بن الطفيل بن زياد بن ربيعة اللخمي ، وابنه محمد,,,بين 211هـ إلى  220هـ,,,,,,,
12328,الحسن بن محمد بن أحمد بن أبي الشوك,,,أبو محمد,الزيات ، البغدادي,,,,,329هـ,,,,,,,
12329,الحسن بن يونس بن مهران,,,أبو علي,الزيات,,,,,,,,,,,,
12330,الحسين بن بحر بن يزيد,,,أبو عبد الله,البيروذي,نواحي الأهواز,,,,261هـ,,ملطية,بغداد,,,,
12332,الحسين بن أبي زيد : منصور,,,أبو علي,الدباغ ، الصغدي الأصل,,,,,254هـ,,,,,,,
12333,الحسن بن سعيد بن عبد الله ، ويقال : الحسين,ابن البستنبان,,,المخرمي ، البغدادي ، الفارسي ، البزاز,,أخو الحسن بن أبي سعيد ، وقرابة سعدان بن نصر,,,بين 251 هـ إلى 260 هـ,,,,,,,
12334,الحسن بن سفيان بن عامر بن عبد العزيز بن النعمان بن عطاء,,الحافظ,أبو العباس,الحافظ ، الشيباني ، الخراساني ، النسوي,خراسان,حفيده إسحاق بن سعد النسوي,,,303 هـ,,بالوز ، وهي على ثلاثة فراسخ من مدينة نسا,مصر,,,,
12335,الحسين بن شداد بن داود,,,أبو علي,القطان ، المخرمي,,,,,268هـ,,,بغداد,,,,
12336,الحسين بن عبد الرحمن بن محمد,,,أبو أحمد,الكوفي ، الأزدي,,,,,,,,,,,,
12337,الحسين بن علي بن مهران,,,أبو العباس,الفسوي,,,,,,,,,,,,
12338,الحسين بن الكميت بن البهلول بن عمر,,,أبو علي,الموصلي,,,,,294هـ,,,بغداد,,,,
12339,الحسين بن نصر,الخرسي,,,المؤدب ، الخرسي,,,,,,,,,,,,
12340,الحسين بن الهيثم بن ماهان,,,أبو الربيع,الكسائي ، الرازي,بغداد,,,,بين 281هـ إلى  290هـ,,,,,,,
12341,حفص بن عمر بن دينار ، ويقال : ابن ميمون,,,أبو إسماعيل,الأبلي,,ابنه إسماعيل بن حفص,,,,,,,,,,
12342,حفص بن عمر,السياري,,أبو بكر,الحبطي ، السياري ، البصري,,,,,269هـ,,,بغداد,,,,
12343,سفيان بن عبد الله بن زياد بن حدير,,,,,,,,,,,,,,,,
12344,الحكم بن أسلم ، وهو ابن سلمان,,,أبو معاذ,الحجبي ، القرشي,,,,,بين 211هـ إلى 220هـ,,,,,,,
12345,الحكم بن عبد الله بن سعد,,,أبو عبد الله,الأيلي ، القرشي ، الأموي مولاهم,,مولى الحارث بن الحكم بن أبي العاص بن أمية بن عبد شمس,,,بين 131هـ إلى 140هـ,,,,,,,
12346,الحكم بن عبد الله بن مسلمة بن عبد الرحمن,,,أبو مطيع,البلخي ، الخراساني ، القاضي ، القرشي مولاهم,بلخ,صاحب أبي حنيفة ، مولى قريش,كان جهميًا ، وكان من رؤساء المرجئة,,199هـ,,,,,,,
12347,الحكم بن عمير,,,,الثمالي ، البدري,,ابن أخيه موسى بن أبي حبيب,,,,,,,,,,
12348,حفص بن عمر بن خالد,,,أبو عمر,المازني ، البصري,,,,,بين 211هـ إلى 220هـ,,,,,,,
12349,حماد بن عمرو,,,أبو إسماعيل,النصيبي,,,,,بين 211 هـ إلى 220 هـ,,,بغداد,,,,
12350,حماد بن المنهال,,,,,,,,,,,,,,,,
12351,حماس بن عمرو,,,,الليثي ، المدني,,والد أبي عمرو بن حماس الليثي,,ولد على عهد النبي - صلى الله عليه وسلم,,,,,,,,
12352,حمدون بن عباد ، وكان اسمه أحمد,الفرغاني ، حمدون,حمدون,أبو جعفر ، أبو حفص,البزاز ، الفرغاني ، البغدادي,بغداد,,,,270هـ,,قرب باب خراسان,,,,,
12353,حمزة بن العباس بن حازم,,,أبو علي,المروزي,,,,,260هـ,,,بغداد,,,,
12354,حمزة بن عبد الواحد,,,,المكي ، الزبيري مولاهم,,مولى الزبير بن العوام,,,بين 171 هـ إلى 180 هـ,,,,,,,
12355,حمزة بن محمد بن العباس بن الفضل بن الحارث بن جنادة بن شبيب بن يزيد,,,أبو أحمد,الدهقان ، البغدادي ، العقبي,العقبة التي بقرب دجلة,,,,347هـ,,,,,,,
12356,حميد بن مالك ، ونسبه الدارقطني : حميد بن عبد الرحمن بن مالك,,,,اللخمي,,جد حميد بن الربيع الخزاز,,,,,,,,,,
12357,حنظلة بن نعيم,,,,العنزي ، الغنوي ، العنبري,,ابنه : أبو طلق الغضبان,,,,,,,,,,
12358,حيان بن عبيد الله بن حيان,,,أبو زهير,البصري ، العدوي مولاهم,,مولى بني عدي,,,بين 161 هـ إلى 170 هـ,,,,,,,
12359,حيدون بن عبد الله بن شبيب,,,أبو حيدرة,الطحان ، الواسطي,,,,,,,,,,,,
12360,خالد بن إسماعيل بن الوليد,,,أبو الوليد,المخزومي,,,,,بين 201هـ إلى 210هـ,,,,,,,
12361,خالد بن سليمان,,,,الصدفي,,,,,,,,,,,,
12363,خالد بن عبد السلام بن خالد بن يزيد,,,أبو يحيى,الصدفي ، المصري,,,,,244هـ,,,,,,,
12364,خالد بن مرداس,,,أبو الهيثم,السراج ، البغدادي,,,,,231هـ,,بغداد,,,,,
12365,خالد بن الهياج بن بسطام,,,,الحنظلي ، الهروي,,,,,292 هـ,,هراة,,,,,
12366,خالد بن يحيى,,,,الكندي,,,كان يرى الإرجاء,,,,,,,,,
12367,خالد بن يزيد,,,أبو الهيثم ، أبو الوليد,المكي ، العمري مولاهم ، القرشي ، العدوي ، الحذاء,مكة,من موالي آل عمر رضي الله عنه,,,229 هـ,,مكة,,,,,
12368,خالد بن يوسف بن خالد بن عمير,,,أبو الربيع,السمتي ، البصري,,,,,249 هـ,,,,,,,
12370,داود بن أبي عبد الرحمن,,,أبو سليمان,القرشي ، البصري ، الناجي,,,,,,,,,,,,
12371,رباح,,,,النوبي,,,,,,,,,,,,
12372,رجاء بن جميل,,,,الأيلي,,,,,,,,,,,,
12373,رحمة بن مصعب,,,أبو مصعب أو أبو هشام ، وقيل : أبو هاشم,الواسطي ، السرخسي الأصل ، الباهلي,,,,,,,,,,,,
12374,روح بن صلاح بن سيابة بن عمرو,,,أبو الحارث,الحارثي ، الموصلي ، ثم المصري,مصر,,,,233هـ,,,,,,,
12375,روح بن غطيف,,,,الجزري,,,,,,,,,,,,
12377,زفر بن الهذيل بن قيس بن مسلم بن مكمل بن ذهل بن ذؤيب بن عمرو بن جندب بن العنبر بن عمرو بن تميم,,,أبو الهذيل,العنبري ، الكوفي ، البصري,البصرة,من أصحاب أبي حنيفة,رجع عن الرأي وأقبل على العبادة,,158هـ,,البصرة,,,,,
12378,زكريا بن إبراهيم بن عبد الله بن مطيع,,,,,,,,,,,,,,,,
12379,زكريا بن الحكم,,,أبو يحيى,الأسدي ، الرسعني,,,,,253هـ,,رأس العين,,,,,
12380,زكريا بن عطية,,,,الحنفي ، البحراني ، البصري,البصرة,,,,بين 211 هـ إلى 220 هـ,,,,,,,
12381,زكريا بن يحيى بن زكريا,,,أبو الفضل,الباهلي,,,,,بين 251هـ إلى 260هـ,,,,,,,
12383,زهير بن عباد بن مليح بن زهير,,,أبو محمد,الرؤاسي ، الكوفي الأصل,مصر,ابن عم وكيع بن الجراح,,,238هـ,,,دمشق ، مصر,,,,
12384,زيد بن إسماعيل بن سيار بن مهدي,,,أبو الحسن,الصائغ ، البغدادي,,,,,بين 271هـ إلى  280هـ,,,,,,,
12385,زيد بن رفيع,,,,الجزري ، النصيبي,,مولى أسماء بن خارجة,,,يقال : 136هـ,,,,,,,
12386,زيد بن نعيم,,,,,,,,,,,,بغداد,,,,
12387,موسى بن محمد بن سعيد بن حيان,,,أبو عمران,البصري,,,,,230 وبضع,,,بغداد,,,,
12388,ياسين بن معاذ,,,أبو خلف,الزيات ، الكوفي ، اليمامي الأصل,,ابنه : خلف,كان يذهب إلى الإرجاء ، كان يفتي برأي أبي حنيفة,,قريب من موت الثوري,,,,,,,
12389,الحسين بن عبد الله بن يزيد بن الأزرق,القطان,الحافظ,أبو علي ، أبو عبد الله,الحافظ ، الرقي ، القطان ، الجصاص ، المالكي ، الازرق,,,المالكي,,فِي حُدُودِ 310هـ,,,,,,,
12390,أحمد بن علي بن المثنى بن يحيى بن عيسى بن هلال,,الحافظ,أبو يعلى,الحافظ ، الموصلي ، التميمي,الموصلِ,,,210 هـ,307 هـ,,,,,,,
12391,محمد بن إسحاق بن خزيمة بن المغيرة بن صالح بن بكر,,الحافظ ، شيخ الإسلام,أبو بكر,الحافظ ، السلمي ، النيسابوري ، الشافعي,بستان,,شافعي,223 هـ,311 هـ,,,مرو,,,,
12392,بكر بن بكار,,,أبو عمرو,القيسي ، البصري,أصبهان,,,,201 هـ : 210 هـ,,,أصبهان,206 هـ,,,
12393,سابق بن عبد الله,,,أبو عبد الله ، ويقال : أبو سعيد ، ويقال : أبو المهاجر,الرقى ، الحجام,,,,,,,,,,,,
12394,السري بن سهل ، ولعله السرى بن عاصم,,,,الجند يسابوري,,,,,289هـ,,فارس,,,,,
12395,السرى بن عاصم بن سهل ، وقد ينسب إلى جده,,,أبو سهل ، أبو عاصم,الهمداني ، الكوفي,,مؤدب المعتز بالله,,,258هـ,,,,,,,
12396,سعد بن الحسن,,,أبو همام,,,,,,,,,,,,,
12397,سعد بن عبد الله بن عبد الحكم بن أعين,,,أبو عمر ، أبو عمير,المصري,,أخوه : الفقيه محمد,,,268هـ,,,مكة,,,,
12398,محمد بن الحسن بن قتيبة بن زيادة,,,أبو العباس,اللخمي ، العسقلاني,,,,,310 هـ,,,,,,,
12399,سعد بن محمد بن سعد,,,أبو محمد ، أبو العباس,البجلي ، البيروتي ، القاضي,,,,,279هـ,,,,,,,
12400,سعدان بن يزيد,,,أبو محمد,البزاز ، البغدادي,سُرَّ مَنْ رَأَى,,,,262هـ,,,,,,,
12401,سعيد بن إبراهيم بن عبد الرحمن بن عوف ، أو سعد,,,,,,أخوه : المسور بن إبراهيم,,,,,,,,,,
12402,سعيد بن إسرائيل بن عبد الله,,,أبو عثمان,المروزي الأصل ، القطيعي ، البغدادي,,,,,288هـ,,,,,,,
12403,سعيد بن بحر,,,أبو عثمان ، وقيل : أبو عمرو,القراطيسي ، البغدادي,,,,,253هـ,,بغداد,,,,,
12404,سعيد بن الحسن بن يوسف,ابن أهرش,,,المروروذى الأصل,,ابنه : الحسن,,,,,,,,,,
12405,سعيد بن ذي لعوة  : قيل عامر بن مالك.   ووهم بعضهم  ، فقال  هو سعيد بن ذي حدان .,,,,الكوفي,,,,,,,,,,,,
12407,سعيد بن سليمان بن ماتع,,,,الحميري,,,,,,,,,,,,
12408,سعيد بن سلام بن سعيد,,الأعور,أبو الحسن,العطار ، البصري ، الأعور,مكة ، ثم صار إلي البصرة ،  بغداد,,,,214هـ,,,,,,,
12409,سعيد بن عتاب بن أبان,,,أبو عثمان,البغدادي,,,,,261 هـ : 270 هـ,,,,,,,
12410,سعيد بن محمد بن ثواب,الحصرى,,أبو عثمان,البصري ، الحصرى,,,,,251 هـ : 260 هـ,,,بغداد,,,,
12411,سعيد بن يزيد بن مروان,,,,الخلال,,,,,,,,,,,,
12412,سفيان بن محمد بن سفيان,,,,المصيصي ، الفزاري,,,,,بين 241 هـ ، و : 250 هـ,,,بغداد,,,,
12413,سلمة بن أبي سلمة بن عبد الرحمن بن عوف,,,,الزهري ، القرشي,,أخوه : عمر بن أبي سلمة,,,ما بين 101 هـ إلى120 هـ,,,,,,,
12414,سليمان بن خلاد,,,أبو خلاد,السامري ، المؤدب,سر من رأى,,,,261هـ,,سر من رأى,,,,,
12415,سليمان بن شعيب بن سليمان بن كيسان,,,أبو محمد,الكيساني ، المصري ، النيسابوري الأصل,,,,,273هـ ، أو : 278هـ,,,,,,,
12416,سليمان بن عبد العزيز,,,,,,,,,,,,,,,,
12417,محمد بن عبد الرحمن,,الحافظ,أبو عبد الله,الهروي ، السامي ، الحافظ,الري,,,,301هـ ، وقيل : 302هـ,,,مكة ، المدينة ، الكوفة  ، بغداد,,,,
12419,أحمد بن الحسن بن عبد الجبار بن راشد,,,أبو عبد الله,البغدادي ، الصوفي,,,,في حدود 210هـ,306هـ,,بغداد,البصرة,,,,
12420,عمر بن سعيد بن أحمد بن سعد بن سنان,,,أبو بكر,الطائي ، المنبجي ، العابد,,,,,301 هـ : 310 هـ,,,,,,,
12421,سليمان بن محمد,,,,الجنابي,,,,,,,,,,,,
12422,سليمان بن أبى هوذة,,,,,,,,,211 هـ : 220 هـ,,,,,,,
12423,سمعان بن مالك,,,,الأسدي,,,,,,,,,,,,
12424,سنان بن الحارث بن مصرف,,,,,,عمه : طلحة بن مصرف,,,,,,,,,,
12425,سهل بن عامر,,,,البجلي ، الكوفي,,,,,بين 211 هـ ، و : 220 هـ,,,,,,,
12426,محمد بن حبان بن أحمد بن حبان بن معاذ بن معبد بن سهيد بن هدية بن مرة بن سعد بن يزيد بن مرة بن زيد بن عبد الله بن دارم بن حنظلة بن مالك بن زيد مناة بن تميم,,الحافظ,أبو حاتم,الحافظ  ، التميمي ، الدارمي ، القاضي ، البستي,سمرقند ، نيسابور ، نسا ، سجستان,,,270 هـ ، وبضع,354 هـ,,بست,الحجاز ، مكة ، مصر، الإسكندرية ، العراق ، البصرة ، الأبلة ، الموصل ، بغداد ، حران ، الشام ، دمشق ، عسقلان ، بيت المقدس ، طبرية ، أنطاكية ، الجزيرة ، خراسان ، سجستان ، إسبيجاب ، بخارى ، نسا ، جرجان ، نيسابور ، هراة ، تستر ، منبج,,,,
12427,سهل بن الفضل,,,,السجزي,,,,,,,,المنصورية,,,,
12428,سهل بن المغيرة,,,أبو على,البزاز,بغداد,ابنه : علي,,,201 هـ : 210 هـ,,,,,,,
12429,سورة بن الحكم,,,,الكوفي ، البغدادي,بغداد,,كان من كبار الحنفية,,201 هـ : 210 هـ,,,,,,,
